Date,Value
2013-12-23,7094014.16869
2013-12-22,11309057.6955
2013-12-21,21561556.7352
2013-12-20,20692457.0756
2013-12-19,42939133.9339
2013-12-18,72050489.2357
2013-12-17,49864735.0759
2013-12-16,18628897.8591
2013-12-15,9690220.09601
2013-12-14,7165449.73387
2013-12-13,13658135.9123
2013-12-12,13702449.4518
2013-12-11,30884927.5888
2013-12-10,18923485.8446
2013-12-09,26254647.3335
2013-12-08,19251155.3373
2013-12-07,71950734.3038
2013-12-06,28473416.6056
2013-12-05,56082558.2788
2013-12-04,14221497.1382
2013-12-03,16889510.1006
2013-12-02,62569704.1613
2013-12-01,26557474.5699
2013-11-30,17773842.4348
2013-11-29,25685288.7203
2013-11-28,41250395.8812
2013-11-27,28005244.2108
2013-11-26,27112782.8655
2013-11-25,10870023.1517
2013-11-24,16913925.9398
2013-11-23,17943616.9462
2013-11-22,20545165.6326
2013-11-21,27820861.9278
2013-11-20,29401413.7641
2013-11-19,51468001.2852
2013-11-18,26396846.1667
2013-11-17,9467000.46135
2013-11-16,13206368.4702
2013-11-15,10680850.9369
2013-11-14,13310930.6322
2013-11-13,13932937.4012
2013-11-12,6827828.83166
2013-11-11,11509222.6051
2013-11-10,20053910.8409
2013-11-09,14477171.7642
2013-11-08,14089013.9337
2013-11-07,13309556.2116
2013-11-06,13307470.0993
2013-11-05,8262453.12977
2013-11-04,5415906.61934
2013-11-03,1484220.30695
2013-11-02,1425709.17887
2013-11-01,1585174.84615
2013-10-31,3547390.00192
2013-10-30,4753775.27892
2013-10-29,2939387.24423
2013-10-28,2704981.01432
2013-10-27,1077352.42452
2013-10-26,2772752.64286
2013-10-25,5866632.75407
2013-10-24,10689265.3273
2013-10-23,4871058.71447
2013-10-22,8169910.69914
2013-10-21,4684998.81486
2013-10-20,1268467.9714
2013-10-19,6187881.4694
2013-10-18,3425207.87897
2013-10-17,2913283.14301
2013-10-16,4398511.61939
2013-10-15,1768501.45934
2013-10-14,3557089.21856
2013-10-13,1081240.49114
2013-10-12,876363.146946
2013-10-11,992198.89365
2013-10-10,2005791.73512
2013-10-09,2490305.30906
2013-10-08,1596909.12498
2013-10-07,781361.648147
2013-10-06,459914.165312
2013-10-05,489851.782103
2013-10-04,2011481.35049
2013-10-03,6188639.16594
2013-10-02,3104396.21312
2013-10-01,1034453.54212
2013-09-30,1537778.5039
2013-09-29,658253.627127
2013-09-28,1090006.24896
2013-09-27,1434695.69236
2013-09-26,958266.789783
2013-09-25,1274036.49861
2013-09-24,827226.364047
2013-09-23,915463.099011
2013-09-22,384291.605672
2013-09-21,636144.729908
2013-09-20,1354933.8525
2013-09-19,1706707.80877
2013-09-18,1290734.81278
2013-09-17,972721.506979
2013-09-16,965474.808713
2013-09-15,842965.754458
2013-09-14,1014870.3305
2013-09-13,1305675.03608
2013-09-12,2101228.44006
2013-09-11,1793640.21043
2013-09-10,1957413.76108
2013-09-09,2081076.57097
